variant,pattern,p50_ms,p95_ms,mean_ms,stddev_ms,rows,errors,receipt_count,query_count,p50_delta_vs_full_pct
Full SessionBound,count,29.047456497210078,34.53856300620828,29.699347101025825,3.050967177908327,1,0,60,60,0.0
Full SessionBound,detail_25,30.945087994041387,38.14903298916761,31.82544513353302,4.595706464040213,25,0,60,60,0.0
Full SessionBound,group_by,29.763812497549225,34.71578500466421,30.050987849972444,2.4968298093575325,10,0,60,60,0.0
Receipts off,count,31.400789506733418,41.37986099522095,32.71411456541197,4.240678234943382,1,0,0,60,8.101683566509069
Receipts off,detail_25,31.573427499097306,41.252041002735496,33.19089300154398,5.576348524580177,25,0,0,60,2.030498362702697
Receipts off,group_by,33.55941700283438,42.75824599608313,34.388408816691175,4.941104303565539,10,0,0,60,12.75241370908948
Budget accounting off,count,30.85899299912853,39.4113600050332,31.594107016523292,3.678374194206099,1,0,60,0,6.236472037035141
Budget accounting off,detail_25,29.35634149616817,34.59360399574507,29.735241964954184,2.4775519471982874,25,0,60,0,-5.13408298654422
Budget accounting off,group_by,30.421334493439645,39.910081002744846,31.949314449108595,4.292292040225436,10,0,60,0,2.2091323009932307
Receipts and budget off,count,30.22119399975054,37.28030499769375,31.54975531724631,5.714203873980508,1,0,0,0,4.040758276557521
Receipts and budget off,detail_25,30.033277995244134,36.009319010190666,30.16783506585246,3.018387974521947,25,0,0,0,-2.9465419486699336
Receipts and budget off,group_by,27.781279510236345,32.411526000942104,28.152507899843233,2.1705560064092304,10,0,0,0,-6.660883875263368
