baseline,pattern,p50_ms,p95_ms,mean_ms,stddev_ms,rows,errors,overhead_vs_raw_pct
Raw PostgreSQL,SELECT,0.18344950512982905,0.24280999787151814,0.18743034976068884,0.0397771047913682,3,0,0.0
Raw PostgreSQL,JOIN,0.24978000146802515,0.3986310039181262,0.26102526069735177,0.07404887459213674,3,0,0.0
Raw PostgreSQL,GROUP BY,0.1703870002529584,0.2199809969170019,0.169908209645655,0.038189534433115194,1,0,0.0
Raw PostgreSQL,CTE,0.1461435022065416,0.19123499805573374,0.14344803013955243,0.035126342905881576,1,0,0.0
Raw PostgreSQL,Window,0.1421804990968667,0.23710499226581305,0.16255589071079157,0.034015899624945424,5,0,0.0
Role-only,SELECT,0.07057299808366224,0.1416790037183091,0.0831782998284325,0.026477278941886458,0,0,-61.530014467078
Role-only,JOIN,0.07677749817958102,0.15620399790350348,0.09643754980061203,0.0393674678717927,0,0,-69.2619514259193
Role-only,GROUP BY,0.07416849985020235,0.1535079936729744,0.09610377019271255,0.047755181614956586,0,0,-56.47056422139541
Role-only,CTE,0.07849999383324757,0.16854300338309258,0.0963614895590581,0.0343887206230719,1,0,-46.28567630580992
Role-only,Window,0.0864890098455362,0.1602789998287335,0.09933295019436628,0.030742785968975287,0,0,-39.1695693889696
Safe-view-only,SELECT,0.15606400120304897,0.2410300076007843,0.1728592206200119,0.03890969112907218,3,0,-14.928088199201781
Safe-view-only,JOIN,0.1853239955380559,0.2525169984437525,0.18429159084917046,0.04436590975514728,3,0,-25.805110717889235
Safe-view-only,GROUP BY,0.13579399092122912,0.2541089925216511,0.16368146985769272,0.048806782569856065,1,0,-20.302610692348658
Safe-view-only,CTE,0.2137729970854707,0.2633480035001412,0.21453132052556612,0.03042059876747957,1,0,46.27608744680947
Safe-view-only,Window,0.24116149870678782,0.3143780049867928,0.2454212801239919,0.04812310080346981,5,0,69.6164384276679
RLS-only,SELECT,0.14254949928727,0.20908599253743887,0.14645284041762352,0.03685141819922625,3,0,-22.294966570563215
RLS-only,JOIN,0.14900950191076845,0.20307500381022692,0.1486411501537077,0.03186078177975623,3,0,-40.34370204379895
RLS-only,GROUP BY,0.15848849579924718,0.23467199935112149,0.162540389719652,0.04231300496169004,1,0,-6.983223154375957
RLS-only,CTE,0.10488949919817969,0.18855099915526807,0.12305066979024559,0.04691062339645082,1,0,-28.22842095987167
RLS-only,Window,0.18999299209099263,0.2730819978751242,0.20116561921895482,0.044527802260064406,5,0,33.62802444627204
Full SessionBound,SELECT,21.011783508583903,25.52483300678432,21.533233250083867,1.9242281573176145,3,0,11353.715012048495
Full SessionBound,JOIN,22.30774550116621,26.088308994076215,22.80072336026933,2.113303478713607,3,0,8830.957390526668
Full SessionBound,GROUP BY,21.52723200561013,26.111282990314066,22.155289310467197,2.1894910211073633,1,0,12534.315982821794
Full SessionBound,CTE,20.577210998453666,22.71378500154242,20.743168119952315,1.1206262448182391,1,0,13980.140880551991
Full SessionBound,Window,21.045287998276763,24.158168002031744,21.386735500273062,1.8733184914782401,5,0,14701.810467649813
