target_rows,actual_rows,warmup_iterations,measured_iterations,mode,pattern,p50_ms,p95_ms,p99_ms,mean_ms,stddev_ms,rows_returned,measurements,errors,error_rate
1000,1000,1,3,Raw PostgreSQL,SELECT,0.706324,1.27569,1.27569,0.8731546666666666,0.28602089423132865,50,3,0,0.0
1000,1000,1,3,Raw PostgreSQL,JOIN,0.694526,0.711087,0.711087,0.6783616666666666,0.03522514547245412,50,3,0,0.0
1000,1000,1,3,Raw PostgreSQL,GROUP BY,0.892253,0.982692,0.982692,0.9020683333333332,0.06221022548495456,10,3,0,0.0
1000,1000,1,3,Raw PostgreSQL,CTE,0.966105,1.087861,1.087861,1.000238,0.06246073945020715,10,3,0,0.0
1000,1000,1,3,Raw PostgreSQL,Window,1.254986,1.375257,1.375257,1.2412843333333334,0.11538936954021756,50,3,0,0.0
1000,1000,1,3,Safe-view-only,SELECT,0.889022,0.923217,0.923217,0.8864216666666667,0.031159144407737233,50,3,0,0.0
1000,1000,1,3,Safe-view-only,JOIN,0.911345,1.207087,1.207087,1.0004373333333334,0.1465847368278461,50,3,0,0.0
1000,1000,1,3,Safe-view-only,GROUP BY,1.108011,1.258446,1.258446,1.1560626666666667,0.07244133170289516,10,3,0,0.0
1000,1000,1,3,Safe-view-only,CTE,1.267188,1.621418,1.621418,1.3748383333333332,0.17482513734268565,10,3,0,0.0
1000,1000,1,3,Safe-view-only,Window,1.468213,1.614181,1.614181,1.4904223333333333,0.09331260929918436,50,3,0,0.0
1000,1000,1,3,RLS + Safe View + Short Credential + Audit,SELECT,1.945016,2.017365,2.017365,1.884680666666667,0.13964487874684914,50,3,0,0.0
1000,1000,1,3,RLS + Safe View + Short Credential + Audit,JOIN,2.137583,2.756473,2.756473,2.180182,0.45414870631618753,50,3,0,0.0
1000,1000,1,3,RLS + Safe View + Short Credential + Audit,GROUP BY,2.216822,2.250286,2.250286,2.1762506666666668,0.08218262532244212,10,3,0,0.0
1000,1000,1,3,RLS + Safe View + Short Credential + Audit,CTE,2.039785,2.179239,2.179239,2.077049666666667,0.07313578141754923,10,3,0,0.0
1000,1000,1,3,RLS + Safe View + Short Credential + Audit,Window,2.160781,2.361989,2.361989,2.2114423333333333,0.1083327425953124,50,3,0,0.0
1000,1000,1,3,SessionBound wrapper,SELECT,629.887422,653.87346,653.87346,634.3253596666667,14.492992941285037,50,3,0,0.0
1000,1000,1,3,SessionBound wrapper,JOIN,746.62036,769.116141,769.116141,747.4527400000001,17.35825677935087,50,3,0,0.0
1000,1000,1,3,SessionBound wrapper,GROUP BY,650.419556,669.487202,669.487202,634.7166936666666,36.529117525944265,10,3,0,0.0
1000,1000,1,3,SessionBound wrapper,CTE,607.672608,612.710737,612.710737,606.9257486666667,5.0559840064728645,10,3,0,0.0
1000,1000,1,3,SessionBound wrapper,Window,570.263938,583.335376,583.335376,573.4332293333333,7.151416109259157,50,3,0,0.0
1000,1000,1,3,SessionBound native hook/executor,SELECT,582.097766,637.246937,637.246937,597.3066106666666,28.508389461914703,50,3,0,0.0
1000,1000,1,3,SessionBound native hook/executor,JOIN,731.064355,811.327854,811.327854,753.653056,41.10014574143509,50,3,0,0.0
1000,1000,1,3,SessionBound native hook/executor,GROUP BY,651.534142,662.176406,662.176406,640.0498586666666,24.160303520981543,10,3,0,0.0
1000,1000,1,3,SessionBound native hook/executor,CTE,637.574017,643.872638,643.872638,632.5739036666668,11.808400486414065,10,3,0,0.0
1000,1000,1,3,SessionBound native hook/executor,Window,655.689568,669.359891,669.359891,644.4719823333334,26.1333053595325,50,3,0,0.0
10000,10000,1,3,Raw PostgreSQL,SELECT,2.350469,2.450439,2.450439,2.356267,0.07463677883367327,50,3,0,0.0
10000,10000,1,3,Raw PostgreSQL,JOIN,2.450183,2.50373,2.50373,2.418733666666667,0.08519199988392238,50,3,0,0.0
10000,10000,1,3,Raw PostgreSQL,GROUP BY,7.693114,9.236589,9.236589,8.187542333333333,0.7421948938377906,10,3,0,0.0
10000,10000,1,3,Raw PostgreSQL,CTE,7.412075,8.002927,8.002927,7.468032333333333,0.415782193318676,10,3,0,0.0
10000,10000,1,3,Raw PostgreSQL,Window,9.678608,9.710257,9.710257,9.58299,0.15813223837240342,50,3,0,0.0
10000,10000,1,3,Safe-view-only,SELECT,3.881274,3.898898,3.898898,3.8267926666666665,0.0897989958271001,50,3,0,0.0
10000,10000,1,3,Safe-view-only,JOIN,3.466194,4.028415,4.028415,3.5808393333333335,0.3287907828699311,50,3,0,0.0
10000,10000,1,3,Safe-view-only,GROUP BY,7.842014,8.543462,8.543462,8.059102333333334,0.3431062016269727,10,3,0,0.0
10000,10000,1,3,Safe-view-only,CTE,8.485517,9.678943,9.678943,8.702133333333334,0.7254822912620881,10,3,0,0.0
10000,10000,1,3,Safe-view-only,Window,10.82393,10.879199,10.879199,10.561784000000001,0.4104321950748995,50,3,0,0.0
10000,10000,1,3,RLS + Safe View + Short Credential + Audit,SELECT,4.028055,4.124633,4.124633,4.019741333333333,0.08923158313188351,50,3,0,0.0
10000,10000,1,3,RLS + Safe View + Short Credential + Audit,JOIN,4.113088,4.351688,4.351688,4.056526666666667,0.2671006248405687,50,3,0,0.0
10000,10000,1,3,RLS + Safe View + Short Credential + Audit,GROUP BY,8.774799,9.488888,9.488888,8.780750333333332,0.5757777406953328,10,3,0,0.0
10000,10000,1,3,RLS + Safe View + Short Credential + Audit,CTE,9.028414,9.071653,9.071653,9.00287,0.06899560361356354,10,3,0,0.0
10000,10000,1,3,RLS + Safe View + Short Credential + Audit,Window,11.084648,11.816406,11.816406,11.129497666666666,0.5434745877054011,50,3,0,0.0
10000,10000,1,3,SessionBound wrapper,SELECT,5150.636298,5185.917713,5185.917713,5154.971595666667,23.696643272827025,50,3,0,0.0
10000,10000,1,3,SessionBound wrapper,JOIN,5082.647631,5157.660523,5157.660523,5078.704062,66.13644845847891,50,3,0,0.0
10000,10000,1,3,SessionBound wrapper,GROUP BY,5077.186725,5155.185457,5155.185457,5076.727943,64.2484079137198,10,3,0,0.0
10000,10000,1,3,SessionBound wrapper,CTE,5169.762975,5199.334095,5199.334095,5160.470593999999,36.12805477660475,10,3,0,0.0
10000,10000,1,3,SessionBound wrapper,Window,5253.430657,5306.565361,5306.565361,5247.1237673333335,51.30283609942778,50,3,0,0.0
10000,10000,1,3,SessionBound native hook/executor,SELECT,5346.03164,5413.841735,5413.841735,5324.244315333333,83.48442249357575,50,3,0,0.0
10000,10000,1,3,SessionBound native hook/executor,JOIN,5217.238363,5258.473454,5258.473454,5227.39189,22.413838462723383,50,3,0,0.0
10000,10000,1,3,SessionBound native hook/executor,GROUP BY,5163.179333,5310.361178,5310.361178,5189.333942,90.06011099930944,10,3,0,0.0
10000,10000,1,3,SessionBound native hook/executor,CTE,5281.892336,5411.195402,5411.195402,5280.779693666666,106.94110837612249,10,3,0,0.0
