target_rows,actual_rows,warmup_iterations,measured_iterations,mode,pattern,p50_ms,p95_ms,p99_ms,mean_ms,stddev_ms,rows_returned,measurements,errors,error_rate,supported,reason
1000,1000,1,3,Raw PostgreSQL,SELECT,1.166047,1.222727,1.222727,1.1459043333333334,0.07236418313564301,1000,3,0,0.0,True,
1000,1000,1,3,Raw PostgreSQL,JOIN,1.093997,1.152028,1.152028,1.0942006666666668,0.047132893399644174,1000,3,0,0.0,True,
1000,1000,1,3,Raw PostgreSQL,GROUP BY,0.898973,0.963504,0.963504,0.90871,0.041341362878679594,10,3,0,0.0,True,
1000,1000,1,3,Raw PostgreSQL,CTE,1.213927,1.29715,1.29715,1.2044183333333334,0.07988045756976828,1000,3,0,0.0,True,
1000,1000,1,3,Raw PostgreSQL,Window,1.833039,1.845303,1.845303,1.7999576666666666,0.05568158257648776,1000,3,0,0.0,True,
1000,1000,1,3,Safe-view-only,SELECT,1.158233,1.191921,1.191921,1.1498480000000002,0.03823809321431528,1000,3,0,0.0,True,
1000,1000,1,3,Safe-view-only,JOIN,1.237998,1.264526,1.264526,1.236137,0.023975412002021336,1000,3,0,0.0,True,
1000,1000,1,3,Safe-view-only,GROUP BY,1.119899,1.138282,1.138282,1.1237516666666665,0.010645596784064754,10,3,0,0.0,True,
1000,1000,1,3,Safe-view-only,CTE,1.705407,1.716599,1.716599,1.637002,0.10475291314644501,1000,3,0,0.0,True,
1000,1000,1,3,Safe-view-only,Window,2.115607,2.143594,2.143594,2.117801666666667,0.020223014057146882,1000,3,0,0.0,True,
1000,1000,1,3,RLS + Safe View + Short Credential + Audit,SELECT,1.954318,2.059231,2.059231,1.9648746666666668,0.07311394072420267,1000,3,0,0.0,True,
1000,1000,1,3,RLS + Safe View + Short Credential + Audit,JOIN,1.859992,2.257241,2.257241,1.9822750000000002,0.19482601788433354,1000,3,0,0.0,True,
1000,1000,1,3,RLS + Safe View + Short Credential + Audit,GROUP BY,1.87088,2.084894,2.084894,1.902359,0.13799501054023644,10,3,0,0.0,True,
1000,1000,1,3,RLS + Safe View + Short Credential + Audit,CTE,2.050119,2.107992,2.107992,2.041352,0.05832085258293119,1000,3,0,0.0,True,
1000,1000,1,3,RLS + Safe View + Short Credential + Audit,Window,2.702866,2.740209,2.740209,2.648384666666667,0.10457098382226092,1000,3,0,0.0,True,
1000,1000,1,3,SessionBound wrapper,SELECT,618.008357,625.894267,625.894267,612.8666686666667,13.244851266653512,1000,3,0,0.0,True,
1000,1000,1,3,SessionBound wrapper,JOIN,689.466032,738.12542,738.12542,698.1120690000001,29.775440671965203,1000,3,0,0.0,True,
1000,1000,1,3,SessionBound wrapper,GROUP BY,,,,,,,0,0,0.0,False,direct aggregate/window release is denied pending approved aggregate templates
1000,1000,1,3,SessionBound wrapper,CTE,611.129978,691.215643,691.215643,633.6416936666667,41.03208993698309,1000,3,0,0.0,True,
1000,1000,1,3,SessionBound wrapper,Window,,,,,,,0,0,0.0,False,direct aggregate/window release is denied pending approved aggregate templates
1000,1000,1,3,SessionBound native hook/executor,SELECT,634.966255,681.367979,681.367979,637.974827,34.268213880848286,1000,3,0,0.0,True,
1000,1000,1,3,SessionBound native hook/executor,JOIN,618.960568,687.159031,687.159031,640.154795,33.29038912685016,1000,3,0,0.0,True,
1000,1000,1,3,SessionBound native hook/executor,GROUP BY,,,,,,,0,0,0.0,False,direct aggregate/window release is denied pending approved aggregate templates
1000,1000,1,3,SessionBound native hook/executor,CTE,650.385996,658.660381,658.660381,637.7112713333333,24.014412870033418,1000,3,0,0.0,True,
1000,1000,1,3,SessionBound native hook/executor,Window,,,,,,,0,0,0.0,False,direct aggregate/window release is denied pending approved aggregate templates
10000,10000,1,3,Raw PostgreSQL,SELECT,10.157409,10.660957,10.660957,10.271391,0.28325495331708994,10000,3,0,0.0,True,
10000,10000,1,3,Raw PostgreSQL,JOIN,8.68592,12.718731,12.718731,9.898506666666668,2.000710755522369,10000,3,0,0.0,True,
10000,10000,1,3,Raw PostgreSQL,GROUP BY,7.07414,7.291093,7.291093,6.995709333333333,0.27877113421387234,10,3,0,0.0,True,
10000,10000,1,3,Raw PostgreSQL,CTE,12.180182,14.649942,14.649942,12.739706333333332,1.3888231094218664,10000,3,0,0.0,True,
10000,10000,1,3,Raw PostgreSQL,Window,17.979438,18.070248,18.070248,17.83315,0.2736180217895016,10000,3,0,0.0,True,
10000,10000,1,3,Safe-view-only,SELECT,10.437914,10.684391,10.684391,10.371595,0.2863376390452359,10000,3,0,0.0,True,
10000,10000,1,3,Safe-view-only,JOIN,8.976951,10.033129,10.033129,9.232712666666666,0.5781375392080642,10000,3,0,0.0,True,
10000,10000,1,3,Safe-view-only,GROUP BY,7.755612,8.862759,8.862759,8.000021,0.6288569970366873,10,3,0,0.0,True,
10000,10000,1,3,Safe-view-only,CTE,11.315402,11.742368,11.742368,11.280763666666667,0.39180571669670994,10000,3,0,0.0,True,
10000,10000,1,3,Safe-view-only,Window,18.656733,20.267363,20.267363,19.029630666666666,0.8979556409705823,10000,3,0,0.0,True,
10000,10000,1,3,RLS + Safe View + Short Credential + Audit,SELECT,11.556036,11.612767,11.612767,11.175033333333333,0.5793970942455808,10000,3,0,0.0,True,
10000,10000,1,3,RLS + Safe View + Short Credential + Audit,JOIN,9.559079,10.234888,10.234888,9.754218333333334,0.3418821722565959,10000,3,0,0.0,True,
10000,10000,1,3,RLS + Safe View + Short Credential + Audit,GROUP BY,8.162848,8.592249,8.592249,8.207111,0.2980415283356782,10,3,0,0.0,True,
10000,10000,1,3,RLS + Safe View + Short Credential + Audit,CTE,11.53824,12.297679,12.297679,11.606051666666668,0.5391637896869147,10000,3,0,0.0,True,
10000,10000,1,3,RLS + Safe View + Short Credential + Audit,Window,18.25852,20.143259,20.143259,18.719533666666667,1.0273495313612708,10000,3,0,0.0,True,
10000,10000,1,3,SessionBound wrapper,SELECT,5030.594442,5157.248892,5157.248892,5049.312643666667,81.56891693311532,10000,3,0,0.0,True,
10000,10000,1,3,SessionBound wrapper,JOIN,5147.552279,5511.513445,5511.513445,5263.127545666666,175.77624166538166,10000,3,0,0.0,True,
10000,10000,1,3,SessionBound wrapper,GROUP BY,,,,,,,0,0,0.0,False,direct aggregate/window release is denied pending approved aggregate templates
10000,10000,1,3,SessionBound wrapper,CTE,5104.720865,5306.19566,5306.19566,5145.874781666666,117.75283951203808,10000,3,0,0.0,True,
10000,10000,1,3,SessionBound wrapper,Window,,,,,,,0,0,0.0,False,direct aggregate/window release is denied pending approved aggregate templates
10000,10000,1,3,SessionBound native hook/executor,SELECT,4850.247777,4865.153635,4865.153635,4836.497724,30.596791637424854,10000,3,0,0.0,True,
10000,10000,1,3,SessionBound native hook/executor,JOIN,4866.868834,4967.11082,4967.11082,4870.611716333333,77.30847899307811,10000,3,0,0.0,True,
10000,10000,1,3,SessionBound native hook/executor,GROUP BY,,,,,,,0,0,0.0,False,direct aggregate/window release is denied pending approved aggregate templates
10000,10000,1,3,SessionBound native hook/executor,CTE,4906.161722,5009.952095,5009.952095,4932.220738666667,55.95017662671124,10000,3,0,0.0,True,
10000,10000,1,3,SessionBound native hook/executor,Window,,,,,,,0,0,0.0,False,direct aggregate/window release is denied pending approved aggregate templates
