target_rows,actual_rows,baseline,pattern,p50_ms,p95_ms,mean_ms,stddev_ms,rows_returned,errors,overhead_vs_raw_pct
1000,1000,Raw PostgreSQL,aggregate_by_category,0.8566479996261478,0.9803039997677843,0.8740389997910825,0.06240492666245802,10,0,0.0
1000,1000,Raw PostgreSQL,topk_order,0.42597299989211024,0.6130980000307318,0.45637100010935683,0.09394354158718571,10,0,0.0
1000,1000,Role-only,aggregate_by_category,0.8804549997876165,1.0569680002845416,0.9215785999913351,0.0812056842864804,10,0,2.779087813414428
1000,1000,Role-only,topk_order,0.4070630002388498,0.5263120001472998,0.42070120016433066,0.08163677042197326,10,0,-4.4392484166954125
1000,1000,Safe-view-only,aggregate_by_category,1.0155770000892517,1.5304519997698662,1.111476799906086,0.2189172187201398,10,0,18.5524276636918
1000,1000,Safe-view-only,topk_order,0.641529999938939,0.8107969997581677,0.6396527998731472,0.13039564791243488,10,0,50.60344202600275
1000,1000,RLS + Safe View + Short Credential + Audit,aggregate_by_category,1.9968880001215439,3.085563000240654,2.2365630000422243,0.4433195763964446,10,0,133.10484598026395
1000,1000,RLS + Safe View + Short Credential + Audit,topk_order,1.4615430000048946,2.0732469997710723,1.6470097999444988,0.2701099252939875,10,0,243.10695757127138
1000,1000,Full SessionBound,aggregate_by_category,79.03477400031989,110.52329999984067,84.05440099995758,13.724471723035197,10,0,9126.050143677645
1000,1000,Full SessionBound,topk_order,72.62566999997944,76.34767799982001,73.05900239998664,1.8827215910545443,10,0,16949.359940271792
10000,10000,Raw PostgreSQL,aggregate_by_category,5.391443000007712,5.534353999792074,5.40923059988927,0.10351539762485695,10,0,0.0
10000,10000,Raw PostgreSQL,topk_order,2.0163969998066023,2.1766600002592895,2.0127934000811365,0.11190217518777722,10,0,0.0
10000,10000,Role-only,aggregate_by_category,5.673033999755717,5.800982999971893,5.614859799970873,0.14648934214361617,10,0,5.222924544460584
10000,10000,Role-only,topk_order,1.9210370001019328,2.100734999658016,1.9344015999195108,0.08803506148681127,10,0,-4.729227414731111
10000,10000,Safe-view-only,aggregate_by_category,6.596998000077292,6.981722000091395,6.574788000034459,0.27922138060344354,10,0,22.360525745479563
10000,10000,Safe-view-only,topk_order,2.862792000087211,3.0360379996636766,2.8757411999322358,0.1183871451962167,10,0,41.9756129552756
10000,10000,RLS + Safe View + Short Credential + Audit,aggregate_by_category,7.492502999866701,7.780435999848123,7.518815399907908,0.1421854716855195,10,0,38.97027196347961
10000,10000,RLS + Safe View + Short Credential + Audit,topk_order,3.65463100024499,4.2002089999186865,3.8020308000341174,0.2327163152192807,10,0,81.24560791329857
10000,10000,Full SessionBound,aggregate_by_category,618.9503270002206,634.8609819997364,620.5206318000819,9.45635059169106,10,0,11380.235013137211
10000,10000,Full SessionBound,topk_order,660.2511500000219,667.283977000352,652.3424876000718,17.015002661255448,10,0,32644.104958663807
100000,100000,Raw PostgreSQL,aggregate_by_category,68.8062990002436,68.95223099991199,68.1511842000873,0.9239158094403639,10,0,0.0
100000,100000,Raw PostgreSQL,topk_order,13.822874000197771,14.077894000365632,13.743967600112228,0.25216656249793434,10,0,0.0
100000,100000,Role-only,aggregate_by_category,67.01030199974412,72.58235700010118,68.72396639992076,2.4845633422171294,10,0,-2.6102217770688765
100000,100000,Role-only,topk_order,13.65681900006166,14.196124000136479,13.692165200063755,0.28015731766888885,10,0,-1.2013058943728763
100000,100000,Safe-view-only,aggregate_by_category,82.31442699980107,87.9143719998865,79.90801799987821,5.633553300748622,10,0,19.632109553675676
100000,100000,Safe-view-only,topk_order,30.698423000103503,32.613521000257606,30.49780900009864,1.4288976418478356,10,0,122.08422792296511
100000,100000,RLS + Safe View + Short Credential + Audit,aggregate_by_category,74.86870899992937,77.84546199991382,75.30531900001733,1.4890529793322742,10,0,8.810835763255202
100000,100000,RLS + Safe View + Short Credential + Audit,topk_order,19.929534000311833,26.66929799988793,21.01212720008334,2.9097561291632883,10,0,44.1779328960583
100000,100000,Full SessionBound,aggregate_by_category,6365.203353000197,6479.997597999954,6371.8404062001355,73.60484106345167,10,0,9150.902091068236
100000,100000,Full SessionBound,topk_order,6169.549631999871,6275.436862999868,6167.711632400005,67.3743860273763,10,0,44532.90074055222
